status,health,commonname,latitude,longitude
Alive,Fair,London planetree,40.79893553,-73.96999067
Alive,Fair,northern red oak,40.8431667,-73.93733408
Alive,Fair,pin oak,40.81083189,-73.96184226
Alive,Fair,Callery pear,40.76937838,-73.98477196
Alive,Fair,Turkish hazelnut,40.72899935,-73.98100989
Alive,Fair,pin oak,40.79218349,-73.97530615
Alive,Fair,Callery pear,40.8037238,-73.95792265
Alive,Fair,London planetree,40.80882617,-73.96307414
Alive,Fair,willow oak,40.75896081,-73.98778779
Alive,Fair,London planetree,40.80505114,-73.96606101
Alive,Fair,London planetree,40.7844215,-73.97959844
Alive,Fair,London planetree,40.78660049,-73.94814077
Alive,Fair,London planetree,40.71226723,-73.97909079
Alive,Fair,London planetree,40.71223592,-73.97956877
Alive,Fair,London planetree,40.77541593,-73.95775035
Alive,Fair,London planetree,40.71229046,-73.97833674
Alive,Fair,London planetree,40.71220695,-73.98001081
Alive,Fair,London planetree,40.71219871,-73.98013659
Alive,Fair,London planetree,40.78651703,-73.94820113
Alive,Fair,London planetree,40.805152,-73.96602735
Alive,Fair,London planetree,40.7841258,-73.97981867
Alive,Fair,pin oak,40.80960482,-73.96277535
Alive,Fair,Japanese zelkova,40.74083577,-73.9745135
Alive,Fair,Japanese zelkova,40.78850672,-73.94329497
Alive,Fair,pin oak,40.81081616,-73.96189291
Alive,Fair,littleleaf linden,40.77085504,-73.95963574
Alive,Fair,American elm,40.86264842,-73.92662307
Alive,Fair,London planetree,40.71230113,-73.97857328
Alive,Fair,littleleaf linden,40.79684886,-73.97216901
Alive,Fair,London planetree,40.71230914,-73.97845109
Alive,Fair,London planetree,40.7122936,-73.97868828
Alive,Fair,littleleaf linden,40.79672643,-73.97225832
Alive,Fair,London planetree,40.71222085,-73.97979877
Alive,Fair,London planetree,40.73708901,-73.97875947
Alive,Fair,Japanese zelkova,40.78782825,-73.94167537
Alive,Fair,littleleaf linden,40.78363383,-73.97356691
Alive,Fair,Japanese zelkova,40.7974494,-73.96086738
Alive,Fair,silver maple,40.79764433,-73.96210798
Alive,Fair,littleleaf linden,40.7848477,-73.97225655
Alive,Fair,littleleaf linden,40.79013005,-73.97529805
Alive,Fair,ginkgo,40.80681876,-73.96453698
Alive,Fair,ginkgo,40.79508809,-73.97478581
Alive,Fair,London planetree,40.71232402,-73.97822396
Alive,Fair,ginkgo,40.74026751,-73.980551
Alive,Fair,ginkgo,40.80692442,-73.96445999
Alive,Fair,ginkgo,40.8070805,-73.96434625
Alive,Fair,honeylocust,40.74547866,-73.97813925
Alive,Fair,littleleaf linden,40.74820604,-73.99582479
Alive,Fair,littleleaf linden,40.79295308,-73.97362546
Alive,Fair,littleleaf linden,40.76638235,-73.95248723
Alive,Fair,Callery pear,40.76964801,-73.98414474
Alive,Fair,dawn redwood,40.80030239,-73.96318663
Alive,Fair,London planetree,40.808705,-73.96343231
Alive,Fair,honeylocust,40.7576949,-73.98866786
Alive,Fair,London planetree,40.71224322,-73.97945736
Alive,Fair,American elm,40.80310691,-73.96768848
Alive,Fair,honeylocust,40.80208764,-73.95717327
Alive,Fair,London planetree,40.7920966,-73.97536803
Alive,Fair,London planetree,40.80378049,-73.95806787
Alive,Fair,honeylocust,40.74346351,-73.97302284
Alive,Fair,London planetree,40.71233179,-73.97810537
Alive,Fair,London planetree,40.71221378,-73.97990659
Alive,Fair,London planetree,40.80434572,-73.95191171
Alive,Fair,London planetree,40.80443719,-73.95184502
Alive,Fair,London planetree,40.77287779,-73.94778647
Alive,Fair,maple,40.7151067,-73.97847913
Alive,Fair,common hackberry,40.86340076,-73.92711483
Alive,Fair,Kentucky coffeetree,40.77806959,-73.98262733
Alive,Fair,pin oak,40.71401932,-73.99267659
Alive,Fair,common hackberry,40.86412415,-73.92757759
Alive,Fair,London planetree,40.74371822,-73.97572178
Alive,Fair,London planetree,40.73651357,-73.97743214
Alive,Fair,green ash,40.80455495,-73.95793759
Alive,Fair,green ash,40.73993053,-73.9792141
Alive,Fair,hawthorn,40.77670528,-73.95974764
Alive,Fair,London planetree,40.72044981,-73.98042689
Alive,Fair,London planetree,40.7140212,-73.99292411
Alive,Fair,Japanese zelkova,40.79499753,-73.97457024
Alive,Fair,London planetree,40.71420881,-73.9929491
Alive,Fair,London planetree,40.78854626,-73.94672186
Alive,Fair,Callery pear,40.80764478,-73.96393505
Alive,Fair,Japanese zelkova,40.78841371,-73.94307295
Alive,Fair,Callery pear,40.80771922,-73.96388081
Alive,Fair,ginkgo,40.78570151,-73.97008364
Alive,Fair,London planetree,40.77701677,-73.98011856
Alive,Fair,Callery pear,40.74634623,-73.97781672
Alive,Fair,Sophora,40.78550134,-73.9727552
Alive,Fair,Sophora,40.77414261,-73.95754336
Alive,Fair,Sophora,40.79360592,-73.9742802
Alive,Fair,Sophora,40.7960601,-73.9712206
Alive,Fair,Callery pear,40.7481268,-73.98162672
Alive,Fair,London planetree,40.72039613,-73.98024608
Alive,Fair,Norway maple,40.72769491,-73.97590701
Alive,Fair,Callery pear,40.74809398,-73.98154831
Alive,Fair,Sophora,40.77024061,-73.95113392
Alive,Fair,sawtooth oak,40.77161887,-73.95039529
Alive,Fair,Sophora,40.74528363,-73.99243169
Alive,Fair,common hackberry,40.80481916,-73.96219406
Alive,Fair,Sophora,40.74343536,-73.97295796
Alive,Fair,Chinese elm,40.86219603,-73.92938807
Alive,Fair,Sophora,40.7576533,-73.98856901
Alive,Fair,Sophora,40.76414417,-73.98871243
Alive,Fair,'Schubert' chokecherry,40.78804727,-73.94832109
Alive,Fair,Japanese zelkova,40.78836628,-73.94295973
Alive,Fair,paper birch,40.79913953,-73.96241459
Alive,Fair,honeylocust,40.74335974,-73.97278368
Alive,Fair,Sophora,40.78544793,-73.9727938
Alive,Fair,northern red oak,40.79220361,-73.97555725
Alive,Fair,Japanese zelkova,40.78853401,-73.94336012
Alive,Fair,common hackberry,40.86236818,-73.92644303
Alive,Fair,flowering dogwood,40.77374281,-73.98904516
Alive,Fair,paper birch,40.81051518,-73.95424817
Alive,Fair,eastern redbud,40.70211131,-74.01286874
Alive,Fair,flowering dogwood,40.77341067,-73.98928557
Alive,Fair,common hackberry,40.80418803,-73.96070183
Alive,Fair,pin oak,40.77887269,-73.98029002
Alive,Fair,red maple,40.80758534,-73.95871626
Alive,Fair,shingle oak,40.8040129,-73.95577149
Alive,Fair,Sophora,40.73540323,-74.00027557
Alive,Fair,boxelder,40.75944548,-73.96192951
Alive,Fair,Sophora,40.80417799,-73.95505518
Alive,Fair,Japanese zelkova,40.78120936,-73.98521118
Alive,Fair,Japanese zelkova,40.78802762,-73.94137843
Alive,Fair,London planetree,40.78759416,-73.94737746
Alive,Fair,littleleaf linden,40.78210566,-73.97562101
Alive,Fair,littleleaf linden,40.75921462,-73.96209953
Alive,Fair,littleleaf linden,40.78503512,-73.97270367
Alive,Fair,London planetree,40.80422212,-73.95750449
Alive,Fair,willow oak,40.80926079,-73.96275741
Alive,Fair,littleleaf linden,40.73699689,-73.97906783
Alive,Fair,Sophora,40.73747093,-73.97825745
Alive,Fair,London planetree,40.71411132,-73.99293611
Alive,Fair,London planetree,40.7155284,-73.99221914
Alive,Fair,Sophora,40.80369476,-73.9539044
Alive,Fair,London planetree,40.80411777,-73.95757935
Alive,Fair,willow oak,40.80914313,-73.96284315
Alive,Fair,willow oak,40.80936404,-73.96268216
Alive,Fair,London planetree,40.7747788,-73.95426886
Alive,Fair,willow oak,40.80906389,-73.9629009
Alive,Fair,London planetree,40.71568571,-73.99213966
Alive,Fair,littleleaf linden,40.79037734,-73.97555778
Alive,Fair,Japanese zelkova,40.78726055,-73.94163282
Alive,Fair,littleleaf linden,40.7869672,-73.97111642
Alive,Fair,Sophora,40.73583253,-73.97581773
Alive,Fair,Sophora,40.73548498,-74.00032516
Alive,Fair,flowering dogwood,40.77334005,-73.98933692
Alive,Fair,flowering dogwood,40.77327735,-73.98938251
Alive,Fair,common hackberry,40.86209188,-73.92626553
