status,health,commonname,latitude,longitude
Alive,Poor,cherry,40.7284177,-73.98527711
Alive,Poor,Kentucky yellowwood,40.74352538,-73.97647546
Alive,Poor,London planetree,40.78132354,-73.97626119
Alive,Poor,London planetree,40.81306086,-73.93473658
Alive,Poor,London planetree,40.7683931,-73.95940176
Alive,Poor,London planetree,40.72626432,-74.00580432
Alive,Poor,pin oak,40.8414413,-73.93949275
Alive,Poor,London planetree,40.79192342,-73.93721067
Alive,Poor,London planetree,40.78556204,-73.98040249
Alive,Poor,London planetree,40.76846735,-73.95957713
Alive,Poor,Japanese zelkova,40.78066503,-73.95640384
Alive,Poor,American linden,40.729787,-74.00702891
Alive,Poor,Japanese zelkova,40.80561199,-73.95234267
Alive,Poor,Japanese zelkova,40.80285219,-73.93801414
Alive,Poor,Chinese elm,40.77999841,-73.95654869
Alive,Poor,American linden,40.84712086,-73.93959276
Alive,Poor,littleleaf linden,40.80853035,-73.95967006
Alive,Poor,littleleaf linden,40.77846167,-73.9770915
Alive,Poor,littleleaf linden,40.7431037,-73.97426667
Alive,Poor,ginkgo,40.81474314,-73.94263361
Alive,Poor,ginkgo,40.75720881,-73.96450515
Alive,Poor,ginkgo,40.75598748,-73.96521106
Alive,Poor,American linden,40.80796177,-73.95986696
Alive,Poor,ginkgo,40.75605553,-73.96537357
Alive,Poor,ginkgo,40.75612861,-73.96554811
Alive,Poor,American linden,40.85029707,-73.93861156
Alive,Poor,Japanese zelkova,40.75590248,-73.96500807
Alive,Poor,littleleaf linden,40.74458563,-73.9758577
Alive,Poor,London planetree,40.76435302,-73.9672882
Alive,Poor,ginkgo,40.74739092,-73.97602513
Alive,Poor,London planetree,40.76424003,-73.96701974
Alive,Poor,American linden,40.80011502,-73.97109229
Alive,Poor,Sophora,40.73000201,-73.98076275
Alive,Poor,London planetree,40.78071239,-73.95824198
Alive,Poor,London planetree,40.76419962,-73.96692373
Alive,Poor,American elm,40.72822244,-74.00315495
Alive,Poor,Sophora,40.8008067,-73.96813411
Alive,Poor,ginkgo,40.73154715,-73.98328179
Alive,Poor,Callery pear,40.78025585,-73.95689863
Alive,Poor,Callery pear,40.7803867,-73.95680402
Alive,Poor,honeylocust,40.76565613,-73.96675706
Alive,Poor,ginkgo,40.76459637,-73.99727882
Alive,Poor,American linden,40.72000137,-73.99402521
Alive,Poor,ginkgo,40.75685217,-73.96561566
Alive,Poor,ginkgo,40.73359335,-74.00695397
Alive,Poor,green ash,40.74008869,-73.97913818
Alive,Poor,green ash,40.82601811,-73.9528698
Alive,Poor,ginkgo,40.72510557,-74.0073796
Alive,Poor,ginkgo,40.71597574,-73.99965726
Alive,Poor,American elm,40.72326366,-74.00506218
Alive,Poor,London planetree,40.72964154,-74.00705256
Alive,Poor,Callery pear,40.71802361,-74.01023687
Alive,Poor,American linden,40.79092563,-73.97952849
Alive,Poor,Sophora,40.84030642,-73.93778184
Alive,Poor,London planetree,40.73691416,-74.00801346
Alive,Poor,London planetree,40.7781745,-73.9766641
Alive,Poor,Callery pear,40.78050689,-73.95775523
Alive,Poor,Callery pear,40.85107122,-73.93914569
Alive,Poor,Callery pear,40.71801453,-74.01015622
Alive,Poor,Callery pear,40.73294915,-73.98726683
Alive,Poor,ginkgo,40.77224021,-73.98201083
Alive,Poor,London planetree,40.76776072,-73.96954466
Alive,Poor,London planetree,40.77812399,-73.97654529
Alive,Poor,London planetree,40.76396949,-73.96830095
